Date;Closing price
2002-05-23;690.77
2002-05-24;691.3
2002-05-27;689.24
2002-05-28;683.94
2002-05-29;674.07
2002-05-30;659.02
2002-05-31;659.89
2002-06-03;658.61
2002-06-04;648.55
2002-06-05;652.75
2002-06-06;644.55
2002-06-07;632.89
2002-06-10;638.71
2002-06-11;635.07
2002-06-12;620.47
2002-06-13;622.4
2002-06-14;609.73
2002-06-17;620.32
2002-06-18;623.93
2002-06-19;611.2
2002-06-20;583.41
2002-06-24;567.02
2002-06-25;590.35
2002-06-26;587.92
2002-06-27;594.96
2002-06-28;607.9
2002-07-01;609.29
2002-07-02;596.33
2002-07-03;578.26
2002-07-04;586.5
2002-07-05;609.52
2002-07-08;610.47
2002-07-09;605.18
2002-07-10;590.28
2002-07-11;564.36
2002-07-12;563.04
2002-07-15;549.87
2002-07-16;551.83
2002-07-17;572.23
2002-07-18;569.03
2002-07-19;546.48
2002-07-22;522.18
2002-07-23;504.04
2002-07-24;481.49
2002-07-25;505.13
2002-07-26;484.34
2002-07-29;529.11
2002-07-30;532.34
2002-07-31;541.32
2002-08-01;529.93
2002-08-02;519.94
2002-08-05;497.55
2002-08-06;506.24
2002-08-07;506.78
2002-08-08;518.27
2002-08-09;517.33
2002-08-12;519.95
2002-08-13;519.62
2002-08-14;509.88
2002-08-15;523.04
2002-08-16;519
2002-08-19;523.19
2002-08-20;522.48
2002-08-21;537.84
2002-08-22;564.14
2002-08-23;546.55
2002-08-26;537.95
2002-08-27;539.06
2002-08-28;529.81
2002-08-29;523.26
2002-08-30;525.83
2002-09-02;523.54
2002-09-03;503.26
2002-09-04;503.32
2002-09-05;501.81
2002-09-06;513.18
2002-09-09;510.37
2002-09-10;515.95
2002-09-11;532.71
2002-09-12;518.53
2002-09-13;511.8
2002-09-16;510.54
2002-09-17;505.36
2002-09-18;485.79
2002-09-19;478.84
2002-09-20;475.64
2002-09-23;455.92
2002-09-24;451.83
2002-09-25;459.6
2002-09-26;480.95
2002-09-27;474.69
2002-09-30;445.65
2002-10-01;453.29
2002-10-02;463.66
2002-10-03;455.14
2002-10-04;448.66
2002-10-07;429
2002-10-08;421.93
2002-10-09;421.01
2002-10-10;434.52
2002-10-11;462.32
2002-10-14;460.22
2002-10-15;492.23
2002-10-16;481.83
2002-10-17;491.46
2002-10-18;499.61
2002-10-21;501.88
2002-10-22;496.24
2002-10-23;482.8
2002-10-24;497.4
2002-10-25;495.53
2002-10-28;504.7
2002-10-29;488.12
2002-10-30;501.62
2002-10-31;511.32
2002-11-01;502.58
2002-11-04;523.42
2002-11-05;534.75
2002-11-06;527.02
2002-11-07;514.61
2002-11-08;516.23
2002-11-11;513.2
2002-11-12;529.55
2002-11-13;535.11
2002-11-14;548.03
2002-11-15;542.72
2002-11-18;554.37
2002-11-19;542.68
2002-11-20;546.3
2002-11-21;568.08
2002-11-22;573.46
2002-11-25;566.5
2002-11-26;555.78
2002-11-27;578.25
2002-11-28;584.02
2002-11-29;575.24
2002-12-02;570.82
2002-12-03;559.57
2002-12-04;558.5
2002-12-05;551.92
2002-12-06;550.29
2002-12-09;542.46
2002-12-10;541.64
2002-12-11;543.08
2002-12-12;533.17
2002-12-13;534.03
2002-12-16;534.16
2002-12-17;518.78
2002-12-18;505.82
2002-12-19;508.36
2002-12-20;509.81
2002-12-23;508.32
2002-12-27;494.37
2002-12-30;493.2
2003-01-02;514.79
2003-01-03;519.75
2003-01-07;518.66
2003-01-08;504.78
2003-01-09;508.27
2003-01-10;514.67
2003-01-13;519.11
2003-01-14;526.01
2003-01-15;521.32
2003-01-16;521.44
2003-01-17;509.61
2003-01-20;515.77
2003-01-21;508.64
